AÑO;MES;PROVINCIA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2022;1;Málaga;América;Argentina;592,0;7104,0;12,0
2022;1;Málaga;América;Brasil;371,0;4526,0;12,2
2022;1;Málaga;América;Canadá;1183,0;10174,0;8,6
2022;1;Málaga;América;Chile;110,0;1089,0;9,9
2022;1;Málaga;América;Colombia;624,0;6926,0;11,1
2022;1;Málaga;América;Ecuador;54,0;545,0;10,1
2022;1;Málaga;América;Estados Unidos de América;3722,0;38337,0;10,3
2022;1;Málaga;América;México;679,0;5704,0;8,4
2022;1;Málaga;América;Nicaragua;40,0;456,0;11,4
2022;1;Málaga;América;Panamá;53,0;488,0;9,2
2022;1;Málaga;América;Paraguay;99,0;990,0;10,0
2022;1;Málaga;América;Perú;106,0;1219,0;11,5
2022;1;Málaga;América;Uruguay;43,0;426,0;9,9
2022;1;Málaga;América;Venezuela;108,0;1534,0;14,2
2022;1;Málaga;Asia;Arabia Saudí;208,0;2101,0;10,1
2022;1;Málaga;Asia;China;688,0;4334,0;6,3
2022;1;Málaga;Asia;Corea;106,0;753,0;7,1
2022;1;Málaga;Asia;Emiratos Árabes Unidos;357,0;2963,0;8,3
2022;1;Málaga;Asia;Filipinas;501,0;3357,0;6,7
2022;1;Málaga;Asia;India;268,0;2171,0;8,1
2022;1;Málaga;Asia;Indonesia;44,0;400,0;9,1
2022;1;Málaga;Asia;Irán;137,0;1274,0;9,3
2022;1;Málaga;Asia;Israel;161,0;1916,0;11,9
2022;1;Málaga;Asia;Japón;54,0;400,0;7,4
2022;1;Málaga;Asia;Kazajstán;80,0;760,0;9,5
2022;1;Málaga;Asia;Kuwait;109,0;1297,0;11,9
2022;1;Málaga;Asia;Líbano;60,0;624,0;10,4
2022;1;Málaga;Asia;Malasia;31,0;267,0;8,6
2022;1;Málaga;Asia;Qatar;60,0;504,0;8,4
2022;1;Málaga;Asia;Singapur;224,0;2531,0;11,3
2022;1;Málaga;Asia;Tailandia;108,0;734,0;6,8
2022;1;Málaga;Europa;Albania;43,0;301,0;7,0
2022;1;Málaga;Europa;Alemania;19827,0;226028,0;11,4
2022;1;Málaga;Europa;Andorra;46,0;460,0;10,0
2022;1;Málaga;Europa;Austria;3145,0;28305,0;9,0
2022;1;Málaga;Europa;Belarús;98,0;843,0;8,6
2022;1;Málaga;Europa;Bosnia y Herzegovina;37,0;255,0;6,9
2022;1;Málaga;Europa;Bulgaria;375,0;3525,0;9,4
2022;1;Málaga;Europa;Bélgica;14275,0;119910,0;8,4
2022;1;Málaga;Europa;Croacia;464,0;2970,0;6,4
2022;1;Málaga;Europa;Dinamarca;7262,0;63179,0;8,7
2022;1;Málaga;Europa;Eslovenia;125,0;938,0;7,5
2022;1;Málaga;Europa;Estonia;958,0;9867,0;10,3
2022;1;Málaga;Europa;Finlandia;7442,0;90792,0;12,2
2022;1;Málaga;Europa;Francia;16084,0;168882,0;10,5
2022;1;Málaga;Europa;Georgia;42,0;336,0;8,0
2022;1;Málaga;Europa;Grecia;158,0;1311,0;8,3
2022;1;Málaga;Europa;Hungría;1055,0;7913,0;7,5
2022;1;Málaga;Europa;Irlanda;7389,0;65023,0;8,8
2022;1;Málaga;Europa;Islandia;65,0;878,0;13,5
2022;1;Málaga;Europa;Italia;4831,0;43962,0;9,1
2022;1;Málaga;Europa;Letonia;1226,0;11892,0;9,7
2022;1;Málaga;Europa;Liechtenstein;182,0;2075,0;11,4
2022;1;Málaga;Europa;Lituania;1000,0;6900,0;6,9
2022;1;Málaga;Europa;Luxemburgo;1361,0;14563,0;10,7
2022;1;Málaga;Europa;Malta;151,0;1344,0;8,9
2022;1;Málaga;Europa;Moldavia;32,0;486,0;15,2
2022;1;Málaga;Europa;Noruega;4717,0;47170,0;10,0
2022;1;Málaga;Europa;Países Bajos;21180,0;177912,0;8,4
2022;1;Málaga;Europa;Polonia;4299,0;37401,0;8,7
2022;1;Málaga;Europa;Portugal;1740,0;13224,0;7,6
2022;1;Málaga;Europa;Reino Unido;30976,0;296016,0;8,05
